fid,fname,tid,q,Lq,l,Ll,k,Lk,a,La,ktotal,Lktotal,w,Lw,t,Lt,lnvoyage_oper,lnF1tonnage,soil,woil,bone,L,voyage_oper,Ktotal,Q,A,W,rev,K,Kprime,exit,bk,bK,bW,bt,cons,omega
1,"Adams, Atkins",1844,4.1984601,4.1837597,4.6450458,4.6305275,7.1522689,7.1522689,2.7080503,2.6390574,12.362119,12.279578,14.021094,14.031227,44,43,1.3862944,7.1522689,1.373099967837334,.3364,2.675,104.068151473999,4,233775.9999313354,66.58373260498047,15,1228242.1,2.5224216,1277,1277,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.24349576
1,"Adams, Atkins",1845,4.1170602,4.1984601,4.7037745,4.6450458,7.1522689,7.1522689,2.7725887,2.7080503,12.438435,12.362119,14.010608,14.021094,45,44,1.3862944,7.3821244,1.231133319437504,.3932,2.439333333333333,110.3629379272461,4,252315.1666030884,61.37853240966797,16,1215428.9,2.1054909,1277,1607,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.19191052
1,"Adams, Atkins",1846,4.288806,4.1170602,4.930614,4.7037745,7.3821244,7.1522689,2.8332133,2.7725887,12.381245,12.438435,14.000108,14.010608,46,45,1.6094379,7.3821244,1.009166676551104,1.1625,12.94366666666667,138.4645042419434,5,238290.3332901001,72.87940216064453,17,1202733.8,6.1007361,1607,1607,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.14971332
1,"Adams, Atkins",1847,4.288806,4.288806,4.930614,4.930614,7.3821244,7.3821244,2.8903718,2.8332133,12.362609,12.381245,13.99081,14.000108,47,46,1.6094379,7.3821244,1.009166676551104,1.1625,12.94366666666667,138.4645042419434,5,233890.5832748413,72.87940216064453,18,1191604,5.6204023,1607,1607,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.17091289
1,"Adams, Atkins",1848,4.3040843,4.288806,4.9268456,4.930614,7.3821244,7.3821244,2.9444389,2.8903718,12.291662,12.362609,13.981936,13.99081,48,47,1.6094379,7.3821244,1.122166682034731,.9625,11.19366666666667,137.9436893463135,5,217871.8332824707,74.00140380859375,19,1181074.4,4.7813039,1607,1607,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.20349807
1,"Adams, Atkins",1849,4.2921209,4.3040843,4.8936796,4.9268456,7.3821244,7.3821244,2.9957323,2.9444389,12.200253,12.291662,13.973796,13.981936,49,48,1.6094379,7.0913262,1.112166676670313,.9356000000000001,10.99366666666666,133.4436893463135,5,198839.4166183472,73.12139892578125,20,1171500.5,5.8933101,1607,1201.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.20522797
1,"Adams, Atkins",1850,3.9117029,4.2921209,4.5898452,4.8936796,7.0913262,7.3821244,3.0445225,2.9957323,12.153888,12.200253,13.966244,13.973796,50,49,1.3862944,6.3835068,1.064666669815779,.1712,.3786666666666667,98.47919082641602,4,189830.6666183472,49.98400115966797,21,1162686.8,1.739273,1201.5,592,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.13924876
1,"Adams, Atkins",1851,3.2230935,3.9117029,3.9978187,4.5898452,6.3835068,7.0913262,3.0910425,3.0445225,12.250927,12.153888,13.958548,13.966244,51,50,.69314718,5.6733232,.568000003695488,.0062,0,54.47918891906738,2,209175.0332870483,25.10566711425781,22,1153772,.84168375,592,291,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.20351288
1,"Adams, Atkins",1852,2.0836411,3.2230935,3.2958369,3.9978187,5.6733232,6.3835068,3.1354942,3.0910425,12.285057,12.250927,13.949748,13.958548,52,51,0,5.6733232,.1799999922513962,.0062,0,27.00000190734863,1,216437.4499206543,8.033666610717773,23,1143664.4,.26329255,291,291,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.1793905
1,"Adams, Atkins",1853,2.0836411,2.0836411,3.2958369,3.2958369,5.6733232,5.6733232,3.1780539,3.1354942,12.326688,12.285057,13.941074,13.949748,53,52,0,,.1799999922513962,.0062,0,27.00000190734863,1,225638.1165618896,8.033666610717773,24,1133787.4,.26465833,291,0,1,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.15777923
2,"Adams, Caleb",1838,2.7808876,,3.3699419,,5.9610052,,0,,12.081944,,14.082073,,38,37,0,5.9610052,.0750000029802322,.7,0,29.07683944702148,1,176653.2499465942,16.13333320617676,1,1305469.5,.25941405,388,388,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.10531044
2,"Adams, Caleb",1839,2.7808876,2.7808876,3.3699419,3.3699419,5.9610052,5.9610052,.69314718,0,12.124185,12.081944,14.072806,14.082073,39,38,0,5.9610052,.0750000029802322,.7,0,29.07683944702148,1,184274.9999389648,16.13333320617676,2,1293427.8,.28886718,388,388,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.081496082
2,"Adams, Caleb",1840,2.7808876,2.7808876,3.3699419,3.3699419,5.9610052,5.9610052,1.0986123,.69314718,12.138627,12.124185,14.06289,14.072806,40,39,0,5.9610052,.0750000029802322,.7,0,29.07683944702148,1,186955.6666030884,16.13333320617676,3,1280664.6,.27550003,388,388,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.056544647
