year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,pop_baleen,pop_sperm
1795,1.162000006064773,4.543333333333334,0.0,6240.0,51.128002,83.294441,0.0,83.294441,134.42244,366013.5648506371,1.1096601354271686e6
1796,1.154666677117348,4.788333333333333,0.0,6692.0,50.805332,87.78611,0.0,87.78611,138.59145,365898.66248647805,1.1095779385351976e6
1797,5.058000057935715,4.780166666666666,0.0,7573.33332824707,222.552,87.636391,0.0,87.636391,310.18839,365779.27468435664,1.1094975581984643e6
1798,7.453333348035812,6.086833333333333,0.0,7903.33332824707,327.94666,111.59194,0.0,111.59194,439.5386,365663.46039536095,1.1091247276795474e6
1799,7.911666691303253,3.620166666666667,0.0,6823.33332824707,348.11334,66.36972,0.0,66.36972,414.48306,365509.8978214953,1.1085774053314666e6
1800,4.393333256244659,3.995666666666666,0.0,7043.33332824707,193.30666,73.253891,0.0,73.253891,266.56055,365437.92528642167,1.108004005790592e6
1801,2.804999962449074,5.516833333333333,0.0,6454.499984741211,123.42,101.14194,0.0,101.14194,224.56195,365356.1759549201,1.1077041234006262e6
1802,2.496666640043259,7.794666666666667,0.0,10436.83332824707,109.85333,142.90222,0.0,142.90222,252.75555,365229.0030676409,1.1075283439686166e6
1803,3.347416649572551,6.283416666666666,0.0,12233.83332824707,147.28633,115.19597,0.0,115.19597,262.4823,365033.94122043037,1.1073784565994213e6
1804,3.986083279363811,5.969083333333333,0.0,13402.5,175.38766,109.4332,0.0,109.4332,284.82086,364891.652122234,1.1071668543618652e6
1805,1.812666604295373,7.364166666666667,0.0,9059.33332824707,79.757332,135.00972,0.0,135.00972,214.76706,364763.1484371551,1.1069104383176432e6
1806,1.849333319813013,11.33083333333333,0.0,12398.66665649414,81.370667,207.73195,0.0,207.73195,289.1026,364594.45594577177,1.1068214736709662e6
1807,3.785000026226044,7.195833333333334,0.55,10980.66665649414,166.54001,131.92361,1.21,131.92361,298.46362,364306.06022302585,1.1067311109983206e6
1808,5.623333364725113,7.622666666666666,0.55,12467.66665649414,247.42667,139.74889,1.21,139.74889,387.17554,364155.23738508177,1.106496490640344e6
1809,9.786666668951511,7.674333333333333,0.0,12899.66665649414,430.61334,140.69611,0.0,140.69611,571.30945,363995.1799933428,1.106127140809691e6
1810,11.92399998754263,5.36,0.0,12919.49998474121,524.65601,98.26667,0.0,98.26667,622.92267,363837.898880896,1.1054501844323329e6
1811,13.32899989932775,1.566666666666667,0.0,11651.66665649414,586.47601,28.722221,0.0,28.722221,615.19824,363757.48733043356,1.1046227453627381e6
1812,10.40233323723078,1.482833333333333,0.0,9494.66665649414,457.70267,27.185278,0.0,27.185278,484.88794,363798.20124329114,1.1037022000247496e6
1813,4.501666627824306,0.4994999999999999,0.0,5573.0,198.07333,9.1575003,0.0,9.1575003,207.23083,363840.4273179467,1.1030158547551844e6
